product_id,product_brand,product_name,Refined_Brand,Product_Type,Meta_Category
1,Washington,Washington Berry Juice,Market Beverage,Juice,Beverage
2,Washington,Washington Mango Drink,Market Beverage,Drink,Beverage
3,Washington,Washington Strawberry Drink,Market Beverage,Drink,Beverage
4,Washington,Washington Cream Soda,Market Beverage,Soda,Beverage
5,Washington,Washington Diet Soda,Market Beverage,Soda,Beverage
6,Washington,Washington Cola,Market Beverage,Cola,Beverage
7,Washington,Washington Diet Cola,Market Beverage,Cola,Beverage
8,Washington,Washington Orange Juice,Market Beverage,Juice,Beverage
9,Washington,Washington Cranberry Juice,Market Beverage,Juice,Beverage
10,Washington,Washington Apple Juice,Market Beverage,Juice,Beverage
11,Washington,Washington Apple Drink,Market Beverage,Drink,Beverage
12,Jeffers,Jeffers Oatmeal,Market Snacks/Frozen,Oatmeal,Snacks/Frozen
13,Jeffers,Jeffers Corn Puffs,Market Produce,Puffs,Produce
14,Jeffers,Jeffers Wheat Puffs,Market Snacks/Frozen,Puffs,Snacks/Frozen
15,Jeffers,Jeffers Grits,Market Snacks/Frozen,Grits,Snacks/Frozen
16,Blue Label,Blue Label Canned Beets,Blue Label,Beets,Produce
17,Blue Label,Blue Label Creamed Corn,Blue Label,Corn,Produce
18,Blue Label,Blue Label Canned String Beans,Blue Label,Beans,Produce
19,Blue Label,Blue Label Chicken Soup,Blue Label,Soup,Meat/Seafood
20,Blue Label,Blue Label Canned Yams,Blue Label,Yams,Produce
21,Blue Label,Blue Label Vegetable Soup,Blue Label,Soup,Produce
22,Blue Label,Blue Label Canned Tomatos,Blue Label,Tomatos,Produce
23,Blue Label,Blue Label Noodle Soup,Blue Label,Soup,Bakery/Pasta
24,Blue Label,Blue Label Regular Ramen Soup,Blue Label,Soup,Bakery/Pasta
25,Blue Label,Blue Label Chicken Noodle Soup,Blue Label,Soup,Bakery/Pasta
26,Blue Label,Blue Label Turkey Noodle Soup,Blue Label,Soup,Bakery/Pasta
27,Blue Label,Blue Label Beef Soup,Blue Label,Soup,Meat/Seafood
28,Blue Label,Blue Label Canned Peas,Blue Label,Peas,Produce
29,Blue Label,Blue Label Chicken Ramen Soup,Blue Label,Soup,Bakery/Pasta
30,Blue Label,Blue Label Canned Tuna in Water,Blue Label,Water,Beverage
31,Blue Label,Blue Label Canned Tuna in Oil,Blue Label,Oil,Produce
32,Blue Label,Blue Label Large Canned Shrimp,Blue Label,Shrimp,Produce
33,Blue Label,Blue Label Fancy Canned Anchovies,Blue Label,Anchovies,Produce
34,Blue Label,Blue Label Fancy Canned Clams,Blue Label,Clams,Produce
35,Blue Label,Blue Label Fancy Canned Oysters,Blue Label,Oysters,Produce
36,Blue Label,Blue Label Fancy Canned Sardines,Blue Label,Sardines,Produce
37,Blue Label,Blue Label Rice Soup,Blue Label,Soup,Pantry
38,Green Ribbon,Green Ribbon Canned Mixed Fruit,Market Produce,Fruit,Produce
39,Green Ribbon,Green Ribbon Canned Peaches,Market Produce,Peaches,Produce
40,King,King Rosy Sunglasses,Market Household,Sunglasses,Household
41,Queen,Queen Eyeglass Screwdriver,Market Household,Screwdriver,Household
42,Queen,Queen City Map,Market Household,Map,Household
43,Club,Club Low Fat Cottage Cheese,Club,Cheese,Dairy
44,Club,Club Low Fat Sour Cream,Club,Cream,Dairy
45,Club,Club Sour Cream,Club,Cream,Dairy
46,Club,Club Jack Cheese,Club,Cheese,Dairy
47,Club,Club Muenster Cheese,Club,Cheese,Dairy
48,Club,Club String Cheese,Club,Cheese,Dairy
49,Club,Club Low Fat String Cheese,Club,Cheese,Dairy
50,Club,Club Havarti Cheese,Club,Cheese,Dairy
51,Club,Club Head Cheese,Club,Cheese,Dairy
52,Club,Club Cheese Spread,Club,Spread,Dairy
53,Club,Club Sharp Cheddar Cheese,Club,Cheese,Dairy
54,Club,Club Mild Cheddar Cheese,Club,Cheese,Dairy
55,Club,Club Large Curd Cottage Cheese,Club,Cheese,Dairy
56,Club,Club 2% Milk,Club,Milk,Beverage
57,Club,Club Buttermilk,Club,Buttermilk,Beverage
58,Club,Club Chocolate Milk,Club,Milk,Beverage
59,Club,Club 1% Milk,Club,Milk,Beverage
60,Club,Club Whole Milk,Club,Milk,Beverage
61,Club,Club Strawberry Yogurt,Club,Yogurt,Dairy
62,Club,Club Blueberry Yogurt,Club,Yogurt,Dairy
63,Red Spade,Red Spade Chicken Hot Dogs,Market Snacks/Frozen,Dogs,Snacks/Frozen
64,Red Spade,Red Spade Pimento Loaf,Market Produce,Loaf,Produce
65,Red Spade,Red Spade Beef Bologna,Market Meat/Seafood,Bologna,Meat/Seafood
66,Red Spade,Red Spade Low Fat Bologna,Market Meat/Seafood,Bologna,Meat/Seafood
67,Red Spade,Red Spade Turkey Hot Dogs,Market Snacks/Frozen,Dogs,Snacks/Frozen
68,Red Spade,Red Spade Foot-Long Hot Dogs,Market Snacks/Frozen,Dogs,Snacks/Frozen
69,Red Spade,Red Spade Low Fat Cole Slaw,Market Miscellaneous,Slaw,Miscellaneous
70,Red Spade,Red Spade Cole Slaw,Market Miscellaneous,Slaw,Miscellaneous
71,Red Spade,Red Spade Roasted Chicken,Market Meat/Seafood,Chicken,Meat/Seafood
72,Red Spade,Red Spade Corned Beef,Market Produce,Beef,Produce
73,Red Spade,Red Spade Sliced Turkey,Market Meat/Seafood,Turkey,Meat/Seafood
74,Red Spade,Red Spade Sliced Ham,Market Meat/Seafood,Ham,Meat/Seafood
75,Red Spade,Red Spade Potato Salad,Market Produce,Salad,Produce
76,Red Spade,Red Spade Sliced Chicken,Market Meat/Seafood,Chicken,Meat/Seafood
77,Blue Medal,Blue Medal Small Brown Eggs,Market Dairy,Eggs,Dairy
78,Blue Medal,Blue Medal Large Brown Eggs,Market Dairy,Eggs,Dairy
79,Blue Medal,Blue Medal Small Eggs,Market Dairy,Eggs,Dairy
80,Blue Medal,Blue Medal Large Eggs,Market Dairy,Eggs,Dairy
81,Blue Medal,Blue Medal Egg Substitute,Market Dairy,Substitute,Dairy
82,Golden,Golden Low Fat Waffles,Golden,Waffles,Snacks/Frozen
83,Golden,Golden Orange Popsicles,Golden,Popsicles,Snacks/Frozen
84,Golden,Golden Frozen Chicken Breast,Golden,Breast,Produce
85,Golden,Golden Frozen Pancakes,Golden,Pancakes,Produce
86,Golden,Golden Low Fat French Fries,Golden,Fries,Snacks/Frozen
87,Golden,Golden Frozen Sausage Pizza,Golden,Pizza,Produce
