OrderID,CustomerID,ProductID,Quantity,OrderDate,ShipDate,PaymentType,SalesRep,Discount,TotalAmount
30000001,100052,200006,3,2025-03-31,2025-04-07,Bank Transfer,Rep_Mariam,0.1,2697.3
30000002,100045,200006,4,2024-11-06,2024-11-12,Cash,Rep_Sara,0.1,3596.4
30000003,100085,200010,2,2025-06-09,2025-06-14,Bank Transfer,Rep_Omar,0.0,240.0
30000004,100096,200005,5,2024-10-05,2024-10-08,Bank Transfer,Rep_Omar,0.0,245.0
30000005,100077,200003,4,2025-04-12,2025-04-18,Bank Transfer,Rep_Sara,0.05,684.0
30000006,100061,200003,2,2025-01-02,2025-01-09,Mobile Wallet,Rep_Omar,0.1,324.0
30000007,100098,200001,4,2025-02-23,2025-02-25,Cash,Rep_Mariam,0.05,4936.2
30000008,100042,200006,3,2025-04-08,2025-04-13,Credit Card,Rep_Sara,0.05,2847.15
30000009,100052,200004,5,2025-04-11,2025-04-17,Bank Transfer,Rep_Mariam,0.0,1150.0
30000010,100086,200001,4,2024-11-28,2024-12-02,Cash,Rep_Sara,0.0,5196.0
30000011,100075,200005,2,2024-10-09,2024-10-16,Bank Transfer,Rep_Ahmed,0.0,98.0
30000012,100062,200008,5,2025-01-21,2025-01-26,Bank Transfer,Rep_Mariam,0.1,1440.0
30000013,100069,200006,5,2025-08-12,2025-08-17,Bank Transfer,Rep_Sara,0.05,4745.25
30000014,100032,200008,2,2025-01-20,2025-01-21,Bank Transfer,Rep_Ahmed,0.1,576.0
30000015,100081,200010,4,2025-01-30,2025-02-06,Credit Card,Rep_Sara,0.1,432.0
30000016,100032,200007,3,2024-10-04,2024-10-05,Mobile Wallet,Rep_Omar,0.1,175.5
30000017,100080,200009,2,2025-07-25,2025-07-29,Cash,Rep_Mariam,0.05,304.0
30000018,100032,200008,3,2025-04-15,2025-04-22,Mobile Wallet,Rep_Omar,0.1,864.0
30000019,100023,200010,4,2024-11-24,2024-11-29,Credit Card,Rep_Omar,0.1,432.0
30000020,100067,200004,4,2024-12-11,2024-12-15,Cash,Rep_Ahmed,0.1,828.0
30000021,100018,200008,4,2025-08-10,2025-08-11,Mobile Wallet,Rep_Mariam,0.0,1280.0
30000022,100049,200005,4,2025-02-21,2025-02-27,Bank Transfer,Rep_Mariam,0.1,176.4
30000023,100027,200004,1,2025-08-29,2025-09-04,Bank Transfer,Rep_Omar,0.05,218.5
30000024,100029,200005,2,2025-08-14,2025-08-20,Bank Transfer,Rep_Sara,0.0,98.0
30000025,100079,200008,4,2024-11-11,2024-11-17,Credit Card,Rep_Mariam,0.1,1152.0
30000026,100023,200009,5,2024-12-15,2024-12-22,Cash,Rep_Sara,0.1,720.0
30000027,100043,200001,2,2024-10-06,2024-10-08,Mobile Wallet,Rep_Sara,0.05,2468.1
30000028,100085,200002,4,2025-08-24,2025-08-25,Credit Card,Rep_Sara,0.1,4316.4
30000029,100018,200002,4,2024-11-02,2024-11-09,Bank Transfer,Rep_Sara,0.1,4316.4
30000030,100100,200010,5,2025-01-23,2025-01-29,Credit Card,Rep_Sara,0.05,570.0
30000031,100017,200010,3,2025-05-26,2025-05-30,Mobile Wallet,Rep_Mariam,0.05,342.0
30000032,100004,200005,2,2025-03-21,2025-03-28,Mobile Wallet,Rep_Sara,0.0,98.0
30000033,100053,200004,5,2025-04-20,2025-04-21,Mobile Wallet,Rep_Sara,0.0,1150.0
30000034,100085,200010,3,2025-07-26,2025-08-01,Mobile Wallet,Rep_Ahmed,0.1,324.0
30000035,100045,200003,5,2025-08-02,2025-08-08,Mobile Wallet,Rep_Ahmed,0.0,900.0
30000036,100087,200006,5,2025-08-17,2025-08-20,Mobile Wallet,Rep_Ahmed,0.0,4995.0
30000037,100031,200008,4,2025-03-14,2025-03-15,Credit Card,Rep_Mariam,0.1,1152.0
30000038,100016,200006,2,2025-04-14,2025-04-15,Cash,Rep_Mariam,0.0,1998.0
30000039,100056,200002,2,2025-05-14,2025-05-20,Cash,Rep_Sara,0.0,2398.0
30000040,100017,200001,1,2024-12-31,2025-01-05,Credit Card,Rep_Sara,0.05,1234.05
30000041,100090,200006,2,2025-06-04,2025-06-08,Credit Card,Rep_Mariam,0.0,1998.0
30000042,100023,200004,5,2025-02-13,2025-02-15,Cash,Rep_Mariam,0.05,1092.5
30000043,100052,200004,2,2024-11-03,2024-11-08,Bank Transfer,Rep_Omar,0.05,437.0
30000044,100037,200008,5,2024-09-22,2024-09-27,Mobile Wallet,Rep_Sara,0.0,1600.0
30000045,100066,200010,3,2025-07-18,2025-07-23,Bank Transfer,Rep_Ahmed,0.1,324.0
30000046,100053,200003,1,2025-07-07,2025-07-14,Credit Card,Rep_Ahmed,0.05,171.0
30000047,100091,200008,1,2025-01-03,2025-01-05,Bank Transfer,Rep_Omar,0.0,320.0
30000048,100049,200003,2,2025-06-14,2025-06-15,Mobile Wallet,Rep_Mariam,0.0,360.0
30000049,100059,200004,4,2024-11-09,2024-11-10,Credit Card,Rep_Omar,0.1,828.0
30000050,100095,200005,2,2024-10-24,2024-10-28,Credit Card,Rep_Sara,0.0,98.0
30000051,100066,200001,3,2024-12-15,2024-12-18,Bank Transfer,Rep_Ahmed,0.1,3507.3
30000052,100082,200004,2,2025-06-11,2025-06-13,Cash,Rep_Ahmed,0.0,460.0
30000053,100056,200010,2,2024-12-08,2024-12-09,Cash,Rep_Mariam,0.1,216.0
30000054,100045,200010,3,2024-10-01,2024-10-05,Credit Card,Rep_Sara,0.05,342.0
30000055,100096,200003,2,2025-01-31,2025-02-01,Mobile Wallet,Rep_Sara,0.05,342.0
30000056,100006,200009,2,2025-01-11,2025-01-14,Bank Transfer,Rep_Sara,0.05,304.0
30000057,100092,200007,2,2024-12-01,2024-12-03,Bank Transfer,Rep_Omar,0.0,130.0
30000058,100021,200007,4,2025-08-09,2025-08-13,Credit Card,Rep_Ahmed,0.0,260.0
30000059,100091,200002,4,2024-09-22,2024-09-27,Mobile Wallet,Rep_Omar,0.1,4316.4
30000060,100026,200009,5,2025-06-10,2025-06-11,Cash,Rep_Sara,0.1,720.0
30000061,100097,200004,2,2025-08-03,2025-08-10,Credit Card,Rep_Ahmed,0.05,437.0
30000062,100026,200003,3,2025-05-02,2025-05-08,Bank Transfer,Rep_Sara,0.1,486.0
30000063,100089,200005,3,2025-09-16,2025-09-17,Bank Transfer,Rep_Sara,0.1,132.3
30000064,100079,200005,5,2025-01-24,2025-01-28,Mobile Wallet,Rep_Ahmed,0.1,220.5
30000065,100080,200009,5,2025-03-30,2025-04-02,Credit Card,Rep_Ahmed,0.0,800.0
30000066,100088,200007,2,2025-06-09,2025-06-12,Cash,Rep_Ahmed,0.05,123.5
30000067,100018,200010,1,2025-07-07,2025-07-09,Cash,Rep_Mariam,0.1,108.0
30000068,100012,200009,3,2024-11-26,2024-12-03,Credit Card,Rep_Omar,0.05,456.0
30000069,100036,200006,2,2025-09-06,2025-09-12,Credit Card,Rep_Sara,0.05,1898.1
30000070,100059,200003,4,2025-06-22,2025-06-29,Bank Transfer,Rep_Sara,0.1,648.0
30000071,100090,200006,1,2025-06-19,2025-06-26,Credit Card,Rep_Ahmed,0.0,999.0
30000072,100087,200006,5,2025-08-31,2025-09-07,Bank Transfer,Rep_Omar,0.05,4745.25
30000073,100053,200007,4,2024-10-12,2024-10-18,Credit Card,Rep_Ahmed,0.05,247.0
30000074,100030,200005,4,2024-12-25,2024-12-31,Credit Card,Rep_Omar,0.0,196.0
30000075,100011,200003,5,2025-07-27,2025-07-31,Mobile Wallet,Rep_Ahmed,0.1,810.0
30000076,100043,200006,2,2025-03-28,2025-04-01,Mobile Wallet,Rep_Omar,0.0,1998.0
30000077,100055,200006,4,2025-08-23,2025-08-30,Mobile Wallet,Rep_Omar,0.1,3596.4
30000078,100035,200004,5,2025-02-02,2025-02-08,Bank Transfer,Rep_Omar,0.0,1150.0
30000079,100034,200009,5,2025-04-29,2025-05-05,Credit Card,Rep_Mariam,0.0,800.0
